,CHEMICAL_ID,SUB_PATHWAY,SUPER_PATHWAY,BIOCHEMICAL_NAME,CAS,KEGG,HMDB,PUBCHEM,MEAN_WITHIN_BATCH_CV,MEDIAN_WITHIN_BATCH_CV,ACROSS_BATCH_CV,NUM_CONTROLS_DETECTED,PERCENT_CONTROLS_DETECTED,TOTAL_CONTROLS,NUM_SAMPLES_DETECTED,PERCENT_SAMPLES_DETECTED,TOTAL_SAMPLES
25,212,Polyamine Metabolism,Amino Acid,5-methylthioadenosine (MTA),2457-80-9,C00170,HMDB01173,439176.0,0.119504658036235,0.109198549670311,0.168840265384815,347.0,0.922872340425532,376.0,3416,0.927252985884908,3684
26,229,Polyunsaturated Fatty Acid (n3 and n6),Lipid,arachidonate (20:4n6),506-32-1,C00219,HMDB01043,444899.0,0.168175116299504,0.120651074241756,0.237525651639818,344.0,0.914893617021277,376.0,3503,0.950868621064061,3684
27,231,Urea cycle; Arginine and Proline Metabolism,Amino Acid,arginine,1119-34-2,C00062,HMDB00517,232.0,0.0414381406265684,0.0376968187631171,0.08119375545495,354.0,0.941489361702128,376.0,3518,0.954940282301846,3684
28,234,Alanine and Aspartate Metabolism,Amino Acid,aspartate,56-84-8,C00049,HMDB00191,5960.0,0.0594630856171754,0.0500687515683743,0.106053525749959,350.0,0.930851063829787,376.0,3507,0.951954397394137,3684
29,235,Phenylalanine and Tyrosine Metabolism,Amino Acid,2-hydroxyphenylacetate,614-75-5,C05852,HMDB00669,11970.0,0.155210098671701,0.129245593340128,0.169797031206999,284.0,0.75531914893617,376.0,2841,0.771172638436482,3684
30,240,Phenylalanine and Tyrosine Metabolism,Amino Acid,3-(4-hydroxyphenyl)lactate,6482-98-0,C03672,HMDB00755,9378.0,0.0608598329913258,0.0526761517215663,0.0794564335582251,356.0,0.946808510638298,376.0,3502,0.950597176981542,3684
31,241,Phenylalanine and Tyrosine Metabolism,Amino Acid,phenylpyruvate,156-06-9,C00166,HMDB00205,997.0,0.173038164511065,0.175545504102894,0.193580650466695,347.0,0.922872340425532,376.0,3481,0.944896851248643,3684
32,244,"Pyrimidine Metabolism, Uracil containing",Nucleotide,beta-alanine,56-41-7;107-95-9,C00099,HMDB00056,239.0,0.145352862596243,0.128451210073817,0.176244278952776,358.0,0.952127659574468,376.0,3509,0.952497285559175,3684
33,249,Dipeptide Derivative,Peptide,carnosine,305-84-0,C00386,HMDB00033,439224.0,0.218584218204713,0.182777390488975,0.36624946315346,147.0,0.390957446808511,376.0,1416,0.384364820846906,3684
34,250,Hemoglobin and Porphyrin Metabolism,Cofactors and Vitamins,biliverdin,55482-27-4;55482-27-4,C00500,HMDB01008,5353439.0,0.125034152812852,0.116076265800026,0.196145566041187,360.0,0.957446808510638,376.0,3502,0.950597176981542,3684
